2805.0862,-1180.9579,25.4536
2530.4785,-1063.5999,69.5695
2042.9279,-1013.6509,39.7422
1497.0605,-689.1375,95.1092
1255.1125,-803.2986,84.1406
829.4501,-858.8712,70.1248
699.3003,-1059.2599,49.4217
299.0901,-1155.5858,80.9099
315.2544,-1772.5730,4.6776
333.3540,-1519.2587,35.8672
763.0789,-1564.3256,13.5536
986.0850,-1095.0150,27.6041
1109.6948,-972.4279,42.7656
1438.9014,-927.2687,39.6406
1656.6252,-1076.3080,23.8984
1956.1605,-1116.0430,27.8305
2224.1555,-1240.3496,25.1478
2338.8757,-1289.3113,27.9766
2436.4819,-1303.6724,24.6679
2450.9358,-1493.6650,24.0000
2519.8420,-1678.7356,14.8524
2507.6228,-2019.1085,13.5469
1957.7228,-2183.6519,13.5469
1857.9117,-2042.3588,13.5469
1734.1467,-2099.2144,13.8666
2511.4326,-2589.3069,13.6443
2785.9890,-2417.7148,13.6341
2261.2937,-1930.7488,12.8935
2105.2878,-1913.1111,13.3828
1833.2399,-1681.1813,13.4816
1665.9006,-1559.9375,13.5469
1125.5248,-1372.0935,13.9844
1289.0425,-1134.7928,23.8281
2842.1575,-1335.5879,14.7421
2767.4480,-1610.6735,10.9219
2753.1375,-1308.9150,53.0938
2789.2317,-2494.3286,13.6485
2509.4431,-1679.9254,13.5469
1544.2460,-1359.1956,329.4643
1013.5293,-1030.5001,32.0392
154.3016,-1942.1782,3.7734
1683.1699,-2311.8606,13.5469
1879.8899,-1389.7712,13.5703
1265.0380,-803.7556,88.3125
2783.9766,-1858.4088,9.8165
1751.1097,-2106.4529,13.5469 
2652.6418,-1989.9175,13.9988 
2489.5225,-1957.9258,13.5881 
2689.5203,-1695.9354,10.0517 
2770.5393,-1628.3069,12.1775 
2807.9282,-1176.8883,25.3805 
2552.5417,-958.0850,82.6345 
2232.1309,-1159.5679,25.8906 
2388.1003,-1279.8933,25.1291 
2481.1885,-1536.7186,24.1467 
2495.0720,-1687.5278,13.5150 
2306.8252,-1675.4340,13.9221 
2191.8403,-1455.8251,25.5391 
1830.1359,-1092.1849,23.8656 
2015.3630,-1717.2535,13.5547 
1654.7091,-1656.8516,22.5156 
1219.0851,-1812.8058,16.5938 
1508.6849,-1059.0846,25.0625 
1421.0819,-885.3383,50.6531 
1133.8237,-1272.1558,13.5469 
1235.2196,-1608.6111,13.5469 
590.4648,-1252.2269,18.2116 
842.5260,-1007.7679,28.4185 
911.9332,-1232.6490,16.9766 
477.6021,-1496.6207,20.4345 
255.4621,-1366.3256,53.1094 
281.5446,-1261.4562,73.9319 
790.1918,-839.8533,60.6328 
1299.1859,-801.4249,84.1406 
1240.3170,-2036.6886,59.9575 
2215.5181,-2627.8174,13.5469 
2509.4346,-2637.6543,13.6453
-2027.31,-52.52002,35.36787
-1616.0839,685.8605,7.1875
-2416.532,333.3283,34.96875
-2233.179,605.3428,37.35936
-2310.585,725.8716,49.43679
-2539.836,836.675,52.09375
-2207.0391,1036.5848,80.0078
-2671.8718,260.1898,4.6328
-2625.486,1408.049,7.101563
-1830.453,654.2467,30.43128
-2305.0908,814.3279,48.2070
-2451.2314,899.1155,58.4800
-2126.086,-136.0137,35.32031
-1983.151,138.7324,27.68746
-1967.3479,286.0576,35.1727
-1989.6471,711.8321,46.5625
-2018.0929,970.2704,45.4453
-2062.5583,237.4662,36.2890
-2653.6443,1388.2767,8.0739
-2642.2583,-274.9985,8.3506
-2188.8037,609.8431,36.2624
-1754.9976,958.5851,25.8386
