2696.6064,-2226.4534,13.2743
10
0,1938.9904,-2083.1792,13.2877,90.0248
5,1744.7786,-2129.7515,13.2711,0.0429
1,1984.6550,-1783.8362,13.2782,87.9693
1,1275.3540,-1364.4434,13.0933,179.6011
12,1103.7915,-1630.0898,13.3520,56.2934
4,1094.6346,-1312.6428,13.3950,270.1375
4,991.9991,-1350.0333,13.0881,271.4209
1,997.0466,-1306.2089,13.1087,179.7332
2,783.6245,-1362.6659,13.2641,267.1836
1,861.0352,-850.4139,77.0377,206.9810
1,1046.7853,-923.7213,42.4189,187.3636
4,701.0613,-1199.4902,15.1012,329.0450
1,587.1533,-1509.9254,15.1021,88.6773
2,374.7783,-1909.9691,7.5585,1.3734
1,2241.3801,-2233.6938,13.3578,52.0352
