18449,2666.0464,-1047.6980,88.5490,0.0000,35.2369,0.0000
18449,2601.5168,-1047.6802,134.1431,0.0000,35.2369,0.0000
18449,2536.9397,-1047.6687,179.7558,0.0000,35.2369,0.0000
5706,2487.9390,-1048.3947,199.2919,0.0000,0.0000,0.0000
978,2476.4600,-1036.1404,203.9526,0.0000,0.0000,180.4818
978,2485.8035,-1036.0607,203.9526,0.0000,0.0000,180.4818
978,2495.1648,-1035.9878,203.9526,0.0000,0.0000,180.4818
979,2476.4116,-1057.2527,203.9026,0.0000,0.0000,0.0000
979,2485.7744,-1057.1879,203.9526,0.0000,0.0000,0.0000
979,2495.1445,-1057.1888,203.9526,0.0000,0.0000,0.0000
973,2471.8684,-1041.4321,203.9776,0.0000,0.0000,268.8997
973,2471.6921,-1052.0885,203.9526,0.0000,0.0000,268.8997
1633,2698.1812,-1053.5363,66.6198,9.4538,0.0000,89.3814
1633,2698.2202,-1049.8403,66.6191,9.4538,0.0000,89.3814
1633,2698.2681,-1045.7015,66.6160,9.4538,0.0000,89.3814
1633,2698.3206,-1041.5883,66.6151,9.4538,0.0000,89.3814
1238,2504.0454,-1039.0441,203.4306,0.0000,0.0000,0.0000
1238,2502.3574,-1037.5217,203.4306,0.0000,0.0000,0.0000
1238,2500.5044,-1035.8566,203.4306,0.0000,0.0000,0.0000
1238,2501.0479,-1056.9880,203.4306,0.0000,0.0000,0.0000
1238,2503.1890,-1056.2058,203.4306,0.0000,0.0000,0.0000
1238,2699.6738,-1056.6941,66.3541,0.0000,0.0000,0.0000
1238,2699.8271,-1038.4393,66.2980,0.0000,0.0000,0.0000
1634,2843.2813,-1054.2778,23.2594,359.1406,0.0000,269.7591
1634,2843.3171,-1050.2399,23.2629,359.1406,0.0000,269.7591
1634,2843.3357,-1046.1169,23.2629,359.1406,0.0000,269.7591
1634,2850.8481,-1054.3088,28.1955,16.3293,0.0000,269.7591
1634,2850.8650,-1050.1561,28.1999,16.3293,0.0000,269.7591
1634,2850.8933,-1046.1285,28.2123,16.3293,0.0000,269.7591
1634,2856.0720,-1054.3063,34.5835,34.3775,0.0000,269.7591
1634,2856.0920,-1050.1571,34.5919,34.3775,0.0000,269.7591
1634,2856.0940,-1046.1711,34.5922,34.3775,0.0000,269.7591
1634,2828.8928,-1054.0713,21.7551,329.9197,0.0000,269.7591
1634,2828.9177,-1049.9299,21.7551,329.9197,0.0000,269.7591
1634,2828.9077,-1046.1074,21.7552,329.9197,0.0000,269.7591
1633,2836.3914,-1054.2036,22.1909,345.3896,0.0000,270.7226
1633,2836.1912,-1050.0728,22.1909,345.3896,0.0000,270.7226
1633,2836.0220,-1045.9854,22.1696,345.3896,0.0000,270.7226
